"Event_Details_ID","Event_ID","Cloud","Rain","Wind","Gust","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
"20210514101611-578958690.166473","20210514101552-355577528.476715",70,0,2,3,0,0,0,0,0,0,999,999,999,999
"20210514101957-719833135.604858","20210514101935-747573018.074036",30,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210514102635-458703398.704529","20210514102616-886066198.348999",90,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210514102847-602811813.354492","20210514102826-686122298.240662",0,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210520090928-760723590.85083","20210520090901-774740099.906921",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210520091223-226866006.851196","20210520091159-986093163.490295",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210520091712-207561135.292053","20210520091506-326206207.275391",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210520093946-56236863.1362915","20210520093925-961953163.146973",0,0,2,4,0,0,0,0,0,999,999,999,999,999
"20210520094521-676175892.353058","20210520094454-106369674.20578",0,0,3,4,0,0,0,0,0,0,0,0,0,0
"20210520094920-80714643.0015564","20210520094823-186013519.763947",0,0,2,4,0,0,0,0,0,0,0,0,0,0
"20210520095508-404834151.268005","20210520095141-462980031.967163",0,0,2,4,0,0,0,0,0,1,0,1,1,0
"20210520095955-459640800.952911","20210520095649-107375323.77243",0,0,1,3,0,0,0,0,0,1,0,0,0,0
"20210520100410-89641392.2309875","20210520100326-928785979.747772",0,0,3,4,1,0,0,0,0,1,0,0,0,0
"20210520100620-790128886.699677","20210520100602-30950605.8692932",0,0,2,3,1,0,0,0,0,0,0,0,0,0
"20210520100909-547668516.635895","20210520100820-130420446.395874",0,0,2,4,1,0,0,0,0,0,0,0,1,0
"20210520101420-886600077.152252","20210520101403-489830434.322357",0,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210520101621-746354758.739471","20210520101602-216733515.262604",0,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210520101913-503371179.103851","20210520101856-395844280.719757",0,0,2,4,1,1,1,0,0,0,0,1,0,0
"20210520131729-774740099.906921","20210520131528-814490020.275116",10,0,1,1,1,0,0,2,0,0,0,0,0,0
"20210520132019-106369674.20578","20210520132003-243931353.092194",10,0,2,3,0,0,0,1,0,0,0,0,0,0
"20210520132249-457971453.666687","20210520132228-583359003.067017",10,0,2,3,2,0,0,0,0,0,0,0,0,0
"20210520133327-73953330.5168152","20210520133307-18758356.5711975",10,0,2,3,0,0,0,0,0,1,0,0,0,0
"20210520133553-97929835.319519","20210520133527-169873476.028442",20,0,3,4,1,0,0,0,1,0,1,0,0,0
"20210520133940-960422813.892365","20210520133916-634371936.321259",20,0,3,4,2,0,0,1,0,0,0,0,0,0
"20210520134932-179089307.785034","20210520134912-412967801.094055",20,0,2,3,0,0,1,0,0,0,0,0,0,0
"20210520135127-747415781.021118","20210520135111-190633416.175842",20,0,3,3,0,0,0,0,0,0,1,0,0,0
"20210520143009-503371179.103851","20210520142947-395844280.719757",100,3,1,2,0,0,0,0,0,0,0,0,0,0
"20210520143220-784488618.373871","20210520143204-223737537.86087",100,3,1,2,0,0,0,0,0,0,0,0,0,0
"20210520145348-509720027.446747","20210520145311-16297698.0209351",100,2,1,1,0,0,0,0,0,0,0,0,0,0
"20210520150717-259060978.889465","20210520150638-330300807.952881",100,1,2,3,999,999,999,999,999,999,999,999,999,999
"20210520150859-956236898.899078","20210520150838-151756227.016449",100,0,0,1,0,0,0,0,0,0,0,0,0,0
"20210520151058-652376711.368561","20210520151037-895446240.901947",100,1,1,1,0,0,0,0,0,0,0,0,0,0
"20210520151518-814490020.275116","20210520151415-14017641.544342",100,0,1,1,0,0,0,0,0,0,0,0,0,0
"20210520152628-824602127.075195","20210520152605-279342055.32074",100,1,1,1,0,0,0,0,0,0,0,0,0,0
"20210520152759-45649170.8755493","20210520152744-798884391.784668",100,0,1,1,1,1,0,0,0,0,0,0,0,0
"20210520153446-289665043.354034","20210520153424-785212218.761444",90,1,2,3,1,1,1,1,0,0,0,0,0,0
"20210520154634-596094548.70224","20210520154615-459640800.952911",0,0,2,3,0,0,0,1,0,0,0,0,0,0
"20210520154929-492165625.095367","20210520154857-401842057.704926",0,0,1,1,0,0,0,1,0,0,0,0,0,0
"20210520155344-482428073.883057","20210520155324-340606570.243835",10,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210520155626-826225519.180298","20210520155604-406421303.749084",90,0,1,2,0,1,0,0,0,0,0,0,0,0
"20210520155827-292866826.057434","20210520155809-370515346.5271",100,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210520160023-48118889.3318176","20210520155956-115470111.370087",30,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210520160512-734488189.220428","20210520160446-696100771.427155",100,0,2,3,0,0,0,0,0,0,0,0,0,0
