Detection_ID,Observation_ID,Distance,Detection
20210507142407-790480017.662048,20210507142320-45352756.9770813,7,1
20210507142409-373536169.528961,20210507142320-45352756.9770813,5,4
20210507142411-961953163.146973,20210507142320-45352756.9770813,6,4
20210507142413-871445834.636688,20210507142320-45352756.9770813,5,4
20210507142416-56236863.1362915,20210507142320-45352756.9770813,36,1
20210507142421-949556648.731232,20210507142320-45352756.9770813,41,1
20210507142424-364018678.665161,20210507142320-45352756.9770813,40,1
20210507142426-524868428.707123,20210507142320-45352756.9770813,50,1
20210507142428-767111659.049988,20210507142320-45352756.9770813,12,1
20210507142534-468700110.912323,20210507142526-53504526.6151428,35,1
20210507142537-298165440.559387,20210507142526-53504526.6151428,17,1
20210507142559-263792932.033539,20210507142550-622696697.711945,27,1
20210507142604-279342055.32074,20210507142550-622696697.711945,26,1
20210507142606-829801619.052887,20210507142550-622696697.711945,22,1
20210507142607-824602127.075195,20210507142550-622696697.711945,49,1
20210507142609-589163005.35202,20210507142550-622696697.711945,51,1
20210507142631-226866006.851196,20210507142622-986093163.490295,35,1
20210507142638-695115506.649017,20210507142622-986093163.490295,42,1
20210507142641-980003237.724304,20210507142622-986093163.490295,29,1
20210507142708-106369674.20578,20210507142655-243931353.092194,31,1
20210507143910-45649170.8755493,20210507143903-798884391.784668,68,1
20210507144319-712730467.319489,20210507144228-646587133.407593,11,4
20210507144324-326206207.275391,20210507144228-646587133.407593,12,1
20210507144326-633178889.751434,20210507144228-646587133.407593,27,1
20210507144327-207561135.292053,20210507144228-646587133.407593,25,1
20210507144329-186013519.763947,20210507144228-646587133.407593,56,1
20210507144343-583359003.067017,20210507144228-646587133.407593,52,1
20210507144348-80714643.0015564,20210507144228-646587133.407593,86,1
20210507144350-457971453.666687,20210507144228-646587133.407593,89,1
20210507144415-785212218.761444,20210507144402-905729830.265045,47,1
20210507144418-378902554.512024,20210507144402-905729830.265045,52,1
20210507144447-631742417.812347,20210507144426-289665043.354034,40,1
20210507144449-627642035.484314,20210507144426-289665043.354034,61,1
20210507144515-561040103.435516,20210507144506-428456366.062164,27,1
20210507144517-694485306.739807,20210507144506-428456366.062164,25,1
20210507144548-22629201.4122009,20210507144527-913717567.920685,48,1
20210507144550-543360590.934753,20210507144527-913717567.920685,40,1
20210507144552-916163980.960846,20210507144527-913717567.920685,38,1
20210507144554-430261135.101318,20210507144527-913717567.920685,66,1
20210507144613-513737499.713898,20210507144607-677947700.023651,19,1
20210507144615-462980031.967163,20210507144607-677947700.023651,22,1
20210507144616-353472650.051117,20210507144607-677947700.023651,25,1
20210507144619-404834151.268005,20210507144607-677947700.023651,23,1
20210507144621-269731581.21109,20210507144607-677947700.023651,3,4
20210507144643-55593490.6005859,20210507144607-677947700.023651,43,1
20210507145019-938545167.446136,20210507144810-628751873.970032,26,1
20210507145024-654499411.582947,20210507144810-628751873.970032,32,1
20210507145026-506087362.766266,20210507144810-628751873.970032,18,1
20210507145027-390471458.435059,20210507144810-628751873.970032,19,1
20210507145042-459640800.952911,20210507145034-107375323.77243,30,1
20210507145044-753688097.000122,20210507145034-107375323.77243,31,1
20210507145046-596094548.70224,20210507145034-107375323.77243,19,1
20210507145047-832730174.064636,20210507145034-107375323.77243,11,1
20210507145048-18758356.5711975,20210507145034-107375323.77243,14,1
20210507145055-210368633.270264,20210507145034-107375323.77243,17,1
20210507145108-73953330.5168152,20210507145034-107375323.77243,15,1
20210507145110-105452656.745911,20210507145034-107375323.77243,19,1
20210507145112-331694424.152374,20210507145034-107375323.77243,26,1
20210507145114-128249883.651733,20210507145034-107375323.77243,27,1
20210507145118-241219.997406006,20210507145034-107375323.77243,15,1
20210507145145-544013977.050781,20210507145134-536794066.429138,34,1
20210507145147-827411830.425262,20210507145134-536794066.429138,37,1
20210507145206-678913354.873657,20210507145156-81893563.2705688,43,1
20210507145806-461874365.80658,20210507145744-757729291.915894,13,2
20210507145808-492165625.095367,20210507145744-757729291.915894,13,2
20210507145821-95429062.8433228,20210507145814-207627296.447754,30,1
20210507145825-589792549.610138,20210507145814-207627296.447754,26,1
20210507145827-169873476.028442,20210507145814-207627296.447754,47,1
20210507145828-927616536.617279,20210507145814-207627296.447754,41,1
20210507145831-97929835.319519,20210507145814-207627296.447754,43,1
20210507145834-443862497.806549,20210507145814-207627296.447754,47,1
20210507145836-272946834.564209,20210507145814-207627296.447754,36,1
20210507150126-480474710.464478,20210507150027-790128886.699677,23,1
20210507150127-254601895.809174,20210507150027-790128886.699677,14,4
20210507150129-340606570.243835,20210507150027-790128886.699677,33,1
20210507150131-44933855.5335999,20210507150027-790128886.699677,34,1
20210507150153-864534497.261047,20210507150146-482428073.883057,23,1
20210507150154-588628590.106964,20210507150146-482428073.883057,31,1
20210507150156-754908323.287964,20210507150146-482428073.883057,26,1
20210507150207-542941153.049469,20210507150201-927883088.588715,43,1
20210507150648-993731319.904327,20210507150300-149245738.983154,21,1
20210507150651-130420446.395874,20210507150300-149245738.983154,26,1
20210507151205-28885781.7649841,20210507150300-149245738.983154,24,1
20210507151258-922954559.326172,20210507151252-345391631.126404,23,1
20210507151300-538246333.599091,20210507151252-345391631.126404,16,1
20210507151301-406421303.749084,20210507151252-345391631.126404,22,1
20210507151303-847245514.392853,20210507151252-345391631.126404,20,1
20210507151304-826225519.180298,20210507151252-345391631.126404,23,1
20210507151314-996771395.206451,20210507151309-672427594.661713,27,1
20210507151315-339806079.864502,20210507151309-672427594.661713,34,1
20210507151324-695281803.607941,20210507151319-495211303.2341,48,1
20210507151834-370515346.5271,20210507151506-489830434.322357,10,1
20210507151836-302497565.746307,20210507151506-489830434.322357,13,1
20210507151837-292866826.057434,20210507151506-489830434.322357,17,1
20210507151840-150311291.217804,20210507151506-489830434.322357,42,1
20210507151842-529821157.455444,20210507151506-489830434.322357,13,1
20210507151858-363458693.027496,20210507151851-223261773.586273,14,1
20210507151859-875974655.151367,20210507151851-223261773.586273,16,1
20210507151901-478014171.123505,20210507151851-223261773.586273,34,1
20210507152000-747415781.021118,20210507151954-190633416.175842,22,1
20210507152011-161743700.504303,20210507152004-613934934.139252,32,1
20210507152013-807779788.970947,20210507152004-613934934.139252,36,1
20210507152015-202618300.914764,20210507152004-613934934.139252,13,1
20210507152017-956762433.052063,20210507152004-613934934.139252,37,1
20210507152350-746354758.739471,20210507152307-561009287.834167,27,1
20210507152353-752310872.077942,20210507152307-561009287.834167,28,1
20210507152355-398932278.156281,20210507152307-561009287.834167,19,1
20210507152357-903098821.640015,20210507152307-561009287.834167,17,1
20210507152359-746006906.032562,20210507152307-561009287.834167,20,4
20210507152402-88559508.3236694,20210507152307-561009287.834167,20,4
20210507152406-634571135.044098,20210507152307-561009287.834167,22,1
20210507152408-713027954.101563,20210507152307-561009287.834167,33,1
20210507152409-15682399.2729187,20210507152307-561009287.834167,34,1
20210507152445-275295495.986938,20210507152441-431144356.7276,23,1
20210507152458-985373914.241791,20210507152441-431144356.7276,10,1
20210507152520-417599201.202393,20210507152511-802587389.945984,46,1
20210507152522-734488189.220428,20210507152511-802587389.945984,50,1
20210507152524-277168393.135071,20210507152511-802587389.945984,18,4
20210507152535-356586277.484894,20210507152511-802587389.945984,17,4
20210507152538-433457136.154175,20210507152511-802587389.945984,39,1
20210507153143-378991246.22345,20210507153055-494376718.997955,51,1
20210507153145-395844280.719757,20210507153055-494376718.997955,53,1
20210507153147-281503438.949585,20210507153055-494376718.997955,27,1
20210507153149-503371179.103851,20210507153055-494376718.997955,24,1
20210507153151-138732314.109802,20210507153055-494376718.997955,12,1
20210507153155-517255842.685699,20210507153055-494376718.997955,18,1
20210507153202-909204125.404358,20210507153159-965364456.176758,9,1
20210507153203-657256424.427032,20210507153159-965364456.176758,5,1
20210507153231-441114664.077759,20210507153159-965364456.176758,8,1
20210507153235-692994534.96933,20210507153159-965364456.176758,4,4
20210507153248-700514316.558838,20210507153242-64491152.7633667,11,1
20210507153249-497070968.151093,20210507153242-64491152.7633667,13,1
20210507153251-155435681.343079,20210507153242-64491152.7633667,10,1
20210507153502-416648387.908936,20210507153429-674826085.567474,17,1
20210507153505-123082816.6008,20210507153429-674826085.567474,18,1
20210507153507-954157948.493958,20210507153429-674826085.567474,22,1
20210507153509-797297298.908234,20210507153429-674826085.567474,27,1
20210507153511-696285009.384155,20210507153429-674826085.567474,22,1
20210507153526-167762815.952301,20210507153519-401604592.80014,26,1
20210507153528-164234161.376953,20210507153519-401604592.80014,29,1
20210507153529-509720027.446747,20210507153519-401604592.80014,32,1
20210507153543-276123285.293579,20210507153534-406062722.206116,37,1
20210507153545-643046796.321869,20210507153534-406062722.206116,42,1
20210507153558-187775135.040283,20210507153553-849099993.70575,27,1
20210507153827-585937917.232513,20210507153748-374432206.15387,41,1
20210507153842-330300807.952881,20210507153837-931559443.473816,32,4
20210507153854-868453681.468964,20210507153837-931559443.473816,6,4
20210507153856-259060978.889465,20210507153837-931559443.473816,12,4
20210507153858-259541332.72171,20210507153837-931559443.473816,57,1
20210507153921-2505660.05706787,20210507153916-178693532.943726,9,4
20210507153923-742342054.843903,20210507153916-178693532.943726,41,1
20210507153937-702970147.132874,20210507153930-840887069.702148,29,1
20210507153939-404864609.241486,20210507153930-840887069.702148,32,1
20210507153941-811571359.634399,20210507153930-840887069.702148,6,4
20210507153943-741780698.299408,20210507153930-840887069.702148,26,1
20210507153958-410631656.646729,20210507153949-437663912.773132,38,1
20210507154000-339375197.887421,20210507153949-437663912.773132,42,1
20210510074645-709037899.971008,20210510074545-14017641.544342,49,1
20210510074647-45352756.9770813,20210510074545-14017641.544342,48,1
20210510074648-414032697.677612,20210510074545-14017641.544342,48,1
20210510074649-862619340.419769,20210510074545-14017641.544342,45,1
20210510074651-790480017.662048,20210510074545-14017641.544342,32,1
20210510074656-373536169.528961,20210510074545-14017641.544342,27,1
20210510074717-56236863.1362915,20210510074711-961953163.146973,21,1
20210510074729-949556648.731232,20210510074711-961953163.146973,27,1
20210510074815-767111659.049988,20210510074807-364018678.665161,62,1
20210510074828-468700110.912323,20210510074822-53504526.6151428,23,1
20210510074830-298165440.559387,20210510074822-53504526.6151428,24,1
20210510075124-980003237.724304,20210510075033-910964310.16922,27,1
20210510075126-243931353.092194,20210510075033-910964310.16922,39,1
20210510075128-533873081.207275,20210510075033-910964310.16922,56,1
20210510075130-106369674.20578,20210510075033-910964310.16922,66,1
20210510075131-999414563.179016,20210510075033-910964310.16922,70,1
20210510075137-676175892.353058,20210510075033-910964310.16922,28,4
20210510075145-15703916.5496826,20210510075033-910964310.16922,28,4
20210510075441-160441517.829895,20210510075357-979829370.975494,31,1
20210510075444-162821590.900421,20210510075357-979829370.975494,46,1
20210510075509-412766814.231873,20210510075502-646587133.407593,22,1
20210510075511-712730467.319489,20210510075502-646587133.407593,24,1
20210510075525-207561135.292053,20210510075519-326206207.275391,12,1
20210510075526-186013519.763947,20210510075519-326206207.275391,13,1
20210510075528-583359003.067017,20210510075519-326206207.275391,7,1
20210510075530-80714643.0015564,20210510075519-326206207.275391,24,1
20210510081104-353472650.051117,20210510081021-502453923.225403,52,4
20210510081108-404834151.268005,20210510081021-502453923.225403,47,4
20210510081112-269731581.21109,20210510081021-502453923.225403,49,1
20210510081135-979077935.218811,20210510081125-55593490.6005859,46,1
20210510081137-60916244.9836731,20210510081125-55593490.6005859,40,1
20210510081139-390291452.407837,20210510081125-55593490.6005859,47,1
20210510081140-364995419.979095,20210510081125-55593490.6005859,41,1
20210510081152-474459171.295166,20210510081145-489894747.73407,47,1
20210510081203-542070209.980011,20210510081156-257267653.942108,35,4
20210510081556-596094548.70224,20210510081402-390471458.435059,16,1
20210510081558-832730174.064636,20210510081402-390471458.435059,14,1
20210510081559-18758356.5711975,20210510081402-390471458.435059,15,1
20210510081600-210368633.270264,20210510081402-390471458.435059,16,1
20210510081604-73953330.5168152,20210510081402-390471458.435059,23,1
20210510081614-128249883.651733,20210510081609-105452656.745911,28,1
20210510081626-241219.997406006,20210510081609-105452656.745911,8,4
20210510081643-544013977.050781,20210510081635-536794066.429138,39,1
20210510081658-191922485.8284,20210510081650-827411830.425262,28,1
20210510081710-357023119.926453,20210510081703-678913354.873657,25,1
20210510081728-149981081.485748,20210510081703-678913354.873657,21,1
20210510081741-530212521.55304,20210510081734-704395771.026611,17,1
20210510082033-169873476.028442,20210510081913-329735934.734344,26,1
20210510082038-927616536.617279,20210510081913-329735934.734344,24,1
20210510082045-97929835.319519,20210510081913-329735934.734344,27,1
20210510082101-872546851.634979,20210510082055-443862497.806549,25,1
20210510082104-750687718.391418,20210510082055-443862497.806549,17,2
20210510082106-272942364.215851,20210510082055-443862497.806549,17,2
20210510082109-673646688.461304,20210510082055-443862497.806549,38,1
20210510082124-30950605.8692932,20210510082118-256628930.568695,14,4
20210510082140-297258019.447327,20210510082133-322717666.625977,20,1
20210510082142-235282242.298126,20210510082133-322717666.625977,18,1
20210510082613-927883088.588715,20210510082402-482428073.883057,22,4
20210510082615-331016898.155212,20210510082402-482428073.883057,26,1
20210510082626-634371936.321259,20210510082620-542941153.049469,11,1
20210510082627-410036683.082581,20210510082620-542941153.049469,19,1
20210510082629-960422813.892365,20210510082620-542941153.049469,30,4
20210510082632-114623308.181763,20210510082620-542941153.049469,45,1
20210510082633-923445165.157318,20210510082620-542941153.049469,43,1
20210510082645-620209574.699402,20210510082620-542941153.049469,9,4
20210510082659-479978263.378143,20210510082653-347726404.666901,33,1
20210510083024-672427594.661713,20210510082903-406421303.749084,77,1
20210510083027-721895098.686218,20210510082903-406421303.749084,74,1
20210510083030-996771395.206451,20210510082903-406421303.749084,81,1
20210510083034-339806079.864502,20210510082903-406421303.749084,60,1
20210510083036-495211303.2341,20210510082903-406421303.749084,8,4
20210510083052-412967801.094055,20210510082903-406421303.749084,9,4
20210510083053-695281803.607941,20210510082903-406421303.749084,12,1
20210510083106-543177008.628845,20210510083100-179089307.785034,21,1
20210510083109-814663946.628571,20210510083100-179089307.785034,37,1
20210510083111-540913581.848145,20210510083100-179089307.785034,23,1
20210510083113-427533328.533173,20210510083100-179089307.785034,17,1
20210510083114-509068131.446838,20210510083100-179089307.785034,15,1
20210510083134-489830434.322357,20210510083128-227781593.799591,38,1
20210510083138-680819392.204285,20210510083128-227781593.799591,59,1
20210510083140-886600077.152252,20210510083128-227781593.799591,83,1
20210510083154-292866826.057434,20210510083148-370515346.5271,44,1
20210510083205-223261773.586273,20210510083159-150311291.217804,23,4
20210510083207-584529280.662537,20210510083159-150311291.217804,24,4
20210510083712-807779788.970947,20210510083407-684062302.112579,39,1
20210510083717-202618300.914764,20210510083407-684062302.112579,46,1
20210510083719-956762433.052063,20210510083407-684062302.112579,49,1
20210510084052-793197572.231293,20210510084011-65851032.7339172,37,1
20210510084054-379604697.227478,20210510084011-65851032.7339172,59,1
20210510084056-463584005.832672,20210510084011-65851032.7339172,79,1
20210510084113-173773407.936096,20210510084107-119544029.23584,92,1
20210510084117-48118889.3318176,20210510084107-119544029.23584,100,1
20210510084131-561009287.834167,20210510084124-714816331.863403,31,1
20210510084137-216733515.262604,20210510084124-714816331.863403,30,1
20210510084141-468005657.196045,20210510084124-714816331.863403,37,1
20210510084144-746354758.739471,20210510084124-714816331.863403,52,1
20210510084146-752310872.077942,20210510084124-714816331.863403,66,1
20210510084202-398932278.156281,20210510084124-714816331.863403,52,4
20210510084206-903098821.640015,20210510084124-714816331.863403,46,1
20210510084223-634571135.044098,20210510084216-746006906.032562,50,1
20210510084235-431144356.7276,20210510084230-713027954.101563,12,1
20210510084237-401982605.457306,20210510084230-713027954.101563,57,1
20210510084252-802587389.945984,20210510084246-275295495.986938,69,1
20210510084253-696100771.427155,20210510084246-275295495.986938,53,1
20210510084256-417599201.202393,20210510084246-275295495.986938,68,1
20210510084801-121549963.951111,20210510084558-356586277.484894,37,1
20210510084803-645951330.661774,20210510084558-356586277.484894,39,1
20210510084805-347832679.748535,20210510084558-356586277.484894,77,1
20210510084806-104432284.832001,20210510084558-356586277.484894,30,1
20210510084808-185402512.550354,20210510084558-356586277.484894,46,1
20210510084812-77684700.4890442,20210510084558-356586277.484894,41,1
20210510084815-432759523.391724,20210510084558-356586277.484894,66,1
20210510084818-959270894.527435,20210510084558-356586277.484894,65,1
20210510084819-542029261.58905,20210510084558-356586277.484894,30,1
20210510084821-494376718.997955,20210510084558-356586277.484894,33,1
20210510084825-972966670.98999,20210510084558-356586277.484894,45,1
20210510084845-395844280.719757,20210510084838-217799842.357635,23,1
20210510084847-281503438.949585,20210510084838-217799842.357635,22,1
20210510084849-503371179.103851,20210510084838-217799842.357635,19,1
20210510084850-138732314.109802,20210510084838-217799842.357635,17,1
20210510084852-517255842.685699,20210510084838-217799842.357635,41,1
20210510084856-965364456.176758,20210510084838-217799842.357635,48,1
20210510084858-557501018.047333,20210510084838-217799842.357635,49,1
20210510084914-441114664.077759,20210510084908-909204125.404358,88,1
20210510084924-692994534.96933,20210510084908-909204125.404358,72,1
20210510084926-64491152.7633667,20210510084908-909204125.404358,99,1
20210510084945-497070968.151093,20210510084939-756092607.975006,79,1
20210510084946-155435681.343079,20210510084939-756092607.975006,102,1
20210510085316-972729027.271271,20210510085230-757029533.38623,17,4
20210510085318-804267168.045044,20210510085230-757029533.38623,6,4
20210510085329-875779688.358307,20210510085321-674826085.567474,72,1
20210510085332-416648387.908936,20210510085321-674826085.567474,73,1
20210510085333-123082816.6008,20210510085321-674826085.567474,102,1
20210510085336-954157948.493958,20210510085321-674826085.567474,103,1
20210510085337-797297298.908234,20210510085321-674826085.567474,80,1
20210510085344-696285009.384155,20210510085321-674826085.567474,81,1
20210510085407-167762815.952301,20210510085400-401604592.80014,42,1
20210510085409-164234161.376953,20210510085400-401604592.80014,42,1
20210510085412-509720027.446747,20210510085400-401604592.80014,43,1
20210510085413-406062722.206116,20210510085400-401604592.80014,43,1
20210510085415-106133759.021759,20210510085400-401604592.80014,8,4
20210510085420-276123285.293579,20210510085400-401604592.80014,7,4
20210510085422-643046796.321869,20210510085400-401604592.80014,6,4
20210510085424-849099993.70575,20210510085400-401604592.80014,5,4
20210510085426-497969210.147858,20210510085400-401604592.80014,2,4
20210510085428-187775135.040283,20210510085400-401604592.80014,12,1
20210510085431-896616637.706757,20210510085400-401604592.80014,28,1
20210510085433-372814297.676086,20210510085400-401604592.80014,29,1
20210510085436-323554813.861847,20210510085400-401604592.80014,8,4
20210510085438-770832777.023315,20210510085400-401604592.80014,6,2
20210510085440-218000352.38266,20210510085400-401604592.80014,11,1
20210510085445-446993231.773376,20210510085400-401604592.80014,3,4
20210510085447-236027777.194977,20210510085400-401604592.80014,34,1
20210510085449-878384590.148926,20210510085400-401604592.80014,82,1
20210510085512-389501869.678497,20210510085503-610432803.630829,25,1
20210510085859-346957147.121429,20210510085732-330300807.952881,45,1
20210510085901-2505660.05706787,20210510085732-330300807.952881,49,1
20210510085903-742342054.843903,20210510085732-330300807.952881,37,1
20210510085904-840887069.702148,20210510085732-330300807.952881,32,1
20210510085906-278589427.471161,20210510085732-330300807.952881,18,1
20210510085911-702970147.132874,20210510085732-330300807.952881,17,1
20210510085923-741780698.299408,20210510085917-404864609.241486,62,1
20210510085925-437663912.773132,20210510085917-404864609.241486,48,1
20210510085927-77980577.9457092,20210510085917-404864609.241486,49,1
20210510085939-710554242.134094,20210510085934-410631656.646729,32,1
20210510085941-312288105.487823,20210510085934-410631656.646729,31,1
20210510085943-798773527.145386,20210510085934-410631656.646729,26,1
20210510085945-151756227.016449,20210510085934-410631656.646729,27,1
20210510085947-592991232.872009,20210510085934-410631656.646729,20,4
20210510085950-956236898.899078,20210510085934-410631656.646729,12,4
20210510085953-243147850.036621,20210510085934-410631656.646729,66,1
20210510090006-984253227.710724,20210510085959-939971148.967743,40,1
20210510090015-632975816.726685,20210510085959-939971148.967743,72,1
20210510090029-574864923.95401,20210510090023-598856389.522552,50,1
20210510090031-245173931.121826,20210510090023-598856389.522552,61,1
