,Observation_ID,Event_ID,Species_ID
134,20210510090758-425849318.504333,20210510090757-4019677.63900757,20200813140240-34356594.0856934
135,20210510091026-176886856.555939,20210510090757-4019677.63900757,20200813140240-887522280.216217
136,20210510091057-979530990.123749,20210510090757-4019677.63900757,20200813140240-61015367.5079346
137,20210510091113-145000398.159027,20210510090757-4019677.63900757,20200813140240-837038218.975067
138,20210510091132-332691490.650177,20210510090757-4019677.63900757,20200813140240-941978275.775909
139,20210510092803-409323275.089264,20210510092803-839586138.725281,20200813140240-34356594.0856934
140,20210510092938-694607496.261597,20210510092803-839586138.725281,20200813140240-887522280.216217
141,20210510092959-559022188.186646,20210510092803-839586138.725281,20200813140240-837038218.975067
142,20210510093251-409597158.432007,20210510093251-841427624.225616,20200813140240-837038218.975067
143,20210510093339-950330734.25293,20210510093251-841427624.225616,20200813140240-887522280.216217
144,20210510093420-456470370.292664,20210510093251-841427624.225616,20200813140240-941978275.775909
145,20210513134425-760723590.85083,20210513134425-14017641.544342,20200813140240-34356594.0856934
146,20210513134837-862619340.419769,20210513134425-14017641.544342,20200813140240-777261734.008789
147,20210513135031-56236863.1362915,20210513134425-14017641.544342,20200813140240-61015367.5079346
148,20210513135511-829801619.052887,20210513134425-14017641.544342,20200813140240-941978275.775909
149,20210514083000-814490020.275116,20210514082959-760723590.85083,20200813140240-941978275.775909
150,20210514083257-871445834.636688,20210514082959-760723590.85083,20200813140240-887522280.216217
151,20210514083307-53504526.6151428,20210514082959-760723590.85083,20200813140240-61015367.5079346
152,20210514083609-279342055.32074,20210514082959-760723590.85083,20200813140240-989627242.088318
153,20210514083617-589163005.35202,20210514082959-760723590.85083,20200813140240-777261734.008789
154,20210514083734-100052237.510681,20210514083734-575183808.803558,20200813140240-941978275.775909
155,20210514083826-948571085.929871,20210514083734-575183808.803558,20200813140240-430560648.441315
156,20210514083839-160441517.829895,20210514083734-575183808.803558,20200813140240-61015367.5079346
157,20210514083853-326206207.275391,20210514083734-575183808.803558,20200813140240-989627242.088318
158,20210514084013-583359003.067017,20210514083734-575183808.803558,20200813140240-777261734.008789
159,20210514084653-579518616.199493,20210514084427-97973823.5473633,20200813140240-61015367.5079346
160,20210514084907-414032697.677612,20210514084427-97973823.5473633,20200813140240-887522280.216217
161,20210514084916-373536169.528961,20210514084427-97973823.5473633,20200813140240-430560648.441315
162,20210514084931-56236863.1362915,20210514084427-97973823.5473633,20200813140240-941978275.775909
163,20210514085110-468700110.912323,20210514084427-97973823.5473633,20200813140240-34356594.0856934
164,20210514085329-226866006.851196,20210514085329-910964310.16922,20200813140240-941978275.775909
165,20210514085436-798884391.784668,20210514085329-910964310.16922,20200813140240-34356594.0856934
166,20210514085447-382010698.318481,20210514085329-910964310.16922,20200813140240-61015367.5079346
167,20210514085500-160441517.829895,20210514085329-910964310.16922,20200813140240-777261734.008789
168,20210514085602-583359003.067017,20210514085602-186013519.763947,20200813140240-61015367.5079346
169,20210514085720-289665043.354034,20210514085602-186013519.763947,20200813140240-989627242.088318
170,20210514085730-627642035.484314,20210514085602-186013519.763947,20200813140240-941978275.775909
171,20210514085740-694485306.739807,20210514085602-186013519.763947,20200813140240-430560648.441315
172,20210514085750-22629201.4122009,20210514085602-186013519.763947,20200813140240-777261734.008789
173,20210514085807-502453923.225403,20210514085602-186013519.763947,20200813140240-887522280.216217
174,20210514085957-364995419.979095,20210514085957-390291452.407837,20200813140240-61015367.5079346
175,20210514090324-938545167.446136,20210514085957-390291452.407837,20200813140240-941978275.775909
176,20210514090344-596094548.70224,20210514085957-390291452.407837,20200813140240-430560648.441315
177,20210514090353-210368633.270264,20210514085957-390291452.407837,20200813140240-989627242.088318
178,20210514090457-191922485.8284,20210514090457-81893563.2705688,20200813140240-61015367.5079346
179,20210514090606-89641392.2309875,20210514090457-81893563.2705688,20200813140240-989627242.088318
180,20210514090617-492165625.095367,20210514090457-81893563.2705688,20200813140240-941978275.775909
181,20210514090729-790128886.699677,20210514090728-322717666.625977,20200813140240-34356594.0856934
182,20210514090820-44933855.5335999,20210514090728-322717666.625977,20200813140240-777261734.008789
183,20210514090830-588628590.106964,20210514090728-322717666.625977,20200813140240-837038218.975067
184,20210514090940-620209574.699402,20210514090940-923445165.157318,20200813140240-941978275.775909
185,20210514091016-993731319.904327,20210514090940-923445165.157318,20200813140240-887522280.216217
186,20210514091025-547668516.635895,20210514090940-923445165.157318,20200813140240-34356594.0856934
187,20210514091137-412967801.094055,20210514091137-495211303.2341,20200813140240-941978275.775909
188,20210514091407-509068131.446838,20210514091137-495211303.2341,20200813140240-837038218.975067
189,20210514091424-886600077.152252,20210514091137-495211303.2341,20200813140240-887522280.216217
190,20210514091626-747415781.021118,20210514091625-684062302.112579,20200813140240-34356594.0856934
191,20210514091705-807779788.970947,20210514091625-684062302.112579,20200813140240-941978275.775909
192,20210514091717-793197572.231293,20210514091625-684062302.112579,20200813140240-777261734.008789
193,20210514091815-746354758.739471,20210514091815-468005657.196045,20200813140240-61015367.5079346
194,20210514091904-746006906.032562,20210514091815-468005657.196045,20200813140240-941978275.775909
195,20210514091918-275295495.986938,20210514091815-468005657.196045,20200813140240-777261734.008789
196,20210514091928-696100771.427155,20210514091815-468005657.196045,20200813140240-887522280.216217
197,20210514091937-277168393.135071,20210514091815-468005657.196045,20200813140240-989627242.088318
198,20210514092902-372814297.676086,20210514092902-896616637.706757,20200813140240-777261734.008789
199,20210514092955-878384590.148926,20210514092902-896616637.706757,20200813140240-61015367.5079346
200,20210514093007-931559443.473816,20210514092902-896616637.706757,20200813140240-941978275.775909
201,20210514093022-868453681.468964,20210514092902-896616637.706757,20200813140240-887522280.216217
202,20210514093343-741780698.299408,20210514093343-811571359.634399,20200813140240-777261734.008789
203,20210514093446-798773527.145386,20210514093343-811571359.634399,20200813140240-941978275.775909
204,20210514093459-243147850.036621,20210514093343-811571359.634399,20200813140240-61015367.5079346
205,20210514093513-598856389.522552,20210514093343-811571359.634399,20200813140240-887522280.216217
206,20210514093658-581176400.184631,20210514093658-270359218.120575,20200813140240-61015367.5079346
207,20210514093751-949905514.717102,20210514093658-270359218.120575,20200813140240-777261734.008789
208,20210514093803-382569313.049316,20210514093658-270359218.120575,20200813140240-887522280.216217
209,20210514093815-99409937.8585815,20210514093658-270359218.120575,20200813140240-941978275.775909
210,20210514100042-821931481.361389,20210514100042-891279399.394989,20200813140240-777261734.008789
211,20210514100228-872118115.42511,20210514100042-891279399.394989,20200813140240-887522280.216217
212,20210514100243-257789969.444275,20210514100042-891279399.394989,20200813140240-61015367.5079346
213,20210514100257-555113255.977631,20210514100042-891279399.394989,20200813140240-941978275.775909
214,20210514100402-933052301.40686,20210514100402-962678253.650665,20200813140240-941978275.775909
215,20210514100504-174484074.115753,20210514100402-962678253.650665,20200813140240-777261734.008789
216,20210514100517-109738528.728485,20210514100402-962678253.650665,20200813140240-887522280.216217
217,20210514100529-807941019.535065,20210514100402-962678253.650665,20200813140240-61015367.5079346
218,20210514100650-283014774.32251,20210514100650-904373705.387115,20200813140240-777261734.008789
219,20210514100743-984046041.965485,20210514100650-904373705.387115,20200813140240-887522280.216217
220,20210514100753-268043816.08963,20210514100650-904373705.387115,20200813140240-941978275.775909
221,20210514100805-93152582.6454163,20210514100650-904373705.387115,20200813140240-34356594.0856934
222,20210514100819-73371052.7420044,20210514100650-904373705.387115,20200813140240-61015367.5079346
223,20210514100912-548423886.299133,20210514100911-420111358.165741,20200813140240-941978275.775909
224,20210514101002-603043735.027313,20210514100911-420111358.165741,20200813140240-61015367.5079346
225,20210514101022-575873911.380768,20210514100911-420111358.165741,20200813140240-777261734.008789
226,20210514101032-59616863.7275696,20210514100911-420111358.165741,20200813140240-887522280.216217
227,20210514101128-602104067.802429,20210514101127-206498563.289642,20200813140240-941978275.775909
228,20210514101211-964709043.502808,20210514101127-206498563.289642,20200813140240-61015367.5079346
229,20210514101226-807886719.703674,20210514101127-206498563.289642,20200813140240-777261734.008789
230,20210514101233-564306676.387787,20210514101127-206498563.289642,20200813140240-887522280.216217
231,20210514101329-807689309.120178,20210514101329-651886165.142059,20200813140240-61015367.5079346
232,20210514101420-773646056.652069,20210514101329-651886165.142059,20200813140240-887522280.216217
233,20210514101430-219469428.062439,20210514101329-651886165.142059,20200813140240-941978275.775909
234,20210514101440-257504105.567932,20210514101329-651886165.142059,20200813140240-777261734.008789
235,20210514101448-664871633.052826,20210514101329-651886165.142059,20200813140240-34356594.0856934
236,20210514101553-204305648.803711,20210514101552-355577528.476715,20200813140240-61015367.5079346
237,20210514101638-424929141.998291,20210514101552-355577528.476715,20200813140240-941978275.775909
238,20210514101656-380592286.586761,20210514101552-355577528.476715,20200813140240-777261734.008789
239,20210514101705-673949241.638184,20210514101552-355577528.476715,20200813140240-887522280.216217
240,20210514101935-436583340.167999,20210514101935-747573018.074036,20200813140240-34356594.0856934
241,20210514102019-278057157.993317,20210514101935-747573018.074036,20200813140240-61015367.5079346
242,20210514102040-306629419.326782,20210514101935-747573018.074036,20200813140240-941978275.775909
243,20210514102052-795397341.251373,20210514101935-747573018.074036,20200813140240-887522280.216217
244,20210514102059-72723507.8811646,20210514101935-747573018.074036,20200813140240-777261734.008789
245,20210514102616-43198525.9056091,20210514102616-886066198.348999,20200813140240-777261734.008789
246,20210514102704-828341901.302338,20210514102616-886066198.348999,20200813140240-887522280.216217
247,20210514102713-249270141.124725,20210514102616-886066198.348999,20200813140240-61015367.5079346
248,20210514102725-257985115.05127,20210514102616-886066198.348999,20200813140240-941978275.775909
249,20210514102826-589929640.293121,20210514102826-686122298.240662,20200813140240-777261734.008789
250,20210514102923-287628710.269928,20210514102826-686122298.240662,20200813140240-887522280.216217
251,20210514103010-981146812.438965,20210514102826-686122298.240662,20200813140240-61015367.5079346
252,20210514103023-606938242.912292,20210514102826-686122298.240662,20200813140240-941978275.775909
253,20210514103035-394446194.171906,20210514102826-686122298.240662,20200813140240-816770374.774933
254,20210520090901-14017641.544342,20210520090901-774740099.906921,20200813140240-837038218.975067
255,20210520090949-414032697.677612,20210520090901-774740099.906921,20200813140240-941978275.775909
256,20210520091003-871445834.636688,20210520090901-774740099.906921,20200813140240-34356594.0856934
257,20210520091035-767111659.049988,20210520090901-774740099.906921,20200813140240-887522280.216217
258,20210520091200-910964310.16922,20210520091159-986093163.490295,20200813140240-34356594.0856934
259,20210520091310-243931353.092194,20210520091159-986093163.490295,20200813140240-641774833.202362
260,20210520091321-676175892.353058,20210520091159-986093163.490295,20200813140240-837038218.975067
261,20210520091328-100052237.510681,20210520091159-986093163.490295,20200813140240-941978275.775909
262,20210520091349-382010698.318481,20210520091159-986093163.490295,20200813140240-887522280.216217
263,20210520091358-401374340.057373,20210520091159-986093163.490295,20200813140240-61015367.5079346
264,20210520091506-633178889.751434,20210520091506-326206207.275391,20200813140240-941978275.775909
265,20210520091822-378902554.512024,20210520091506-326206207.275391,20200813140240-887522280.216217
266,20210520091835-428456366.062164,20210520091506-326206207.275391,20200813140240-837038218.975067
267,20210520092047-22629201.4122009,20210520091506-326206207.275391,20200813140240-641774833.202362
268,20210520093926-871445834.636688,20210520093925-961953163.146973,20200813140240-777261734.008789
269,20210520094022-298165440.559387,20210520093925-961953163.146973,20200813140240-941978275.775909
270,20210520094033-829801619.052887,20210520093925-961953163.146973,20200813140240-887522280.216217
271,20210520094042-986093163.490295,20210520093925-961953163.146973,20200813140240-61015367.5079346
272,20210520094454-999414563.179016,20210520094454-106369674.20578,20200813140240-61015367.5079346
273,20210520094555-45649170.8755493,20210520094454-106369674.20578,20200813140240-777261734.008789
274,20210520094609-278279960.155487,20210520094454-106369674.20578,20200813140240-941978275.775909
275,20210520094617-410073220.729828,20210520094454-106369674.20578,20200813140240-887522280.216217
276,20210520094823-583359003.067017,20210520094823-186013519.763947,20200813140240-61015367.5079346
277,20210520095002-378902554.512024,20210520094823-186013519.763947,20200813140240-777261734.008789
278,20210520095018-694485306.739807,20210520094823-186013519.763947,20200813140240-887522280.216217
279,20210520095027-22629201.4122009,20210520094823-186013519.763947,20200813140240-941978275.775909
280,20210520095141-353472650.051117,20210520095141-462980031.967163,20200813140240-777261734.008789
281,20210520095549-364995419.979095,20210520095141-462980031.967163,20200813140240-61015367.5079346
282,20210520095559-257267653.942108,20210520095141-462980031.967163,20200813140240-941978275.775909
283,20210520095649-783995270.729065,20210520095649-107375323.77243,20200813140240-61015367.5079346
284,20210520100118-73953330.5168152,20210520095649-107375323.77243,20200813140240-777261734.008789
285,20210520100154-657054960.727692,20210520095649-107375323.77243,20200813140240-941978275.775909
286,20210520100211-191922485.8284,20210520095649-107375323.77243,20200813140240-887522280.216217
287,20210520100327-530212521.55304,20210520100326-928785979.747772,20200813140240-61015367.5079346
288,20210520100505-169873476.028442,20210520100326-928785979.747772,20200813140240-777261734.008789
289,20210520100515-872546851.634979,20210520100326-928785979.747772,20200813140240-887522280.216217
290,20210520100602-322717666.625977,20210520100602-30950605.8692932,20200813140240-61015367.5079346
291,20210520100648-864534497.261047,20210520100602-30950605.8692932,20200813140240-941978275.775909
292,20210520100659-542941153.049469,20210520100602-30950605.8692932,20200813140240-777261734.008789
293,20210520100712-620209574.699402,20210520100602-30950605.8692932,20200813140240-887522280.216217
294,20210520100820-28885781.7649841,20210520100820-130420446.395874,20200813140240-777261734.008789
295,20210520100939-721895098.686218,20210520100820-130420446.395874,20200813140240-61015367.5079346
296,20210520100951-422918260.097504,20210520100820-130420446.395874,20200813140240-941978275.775909
297,20210520101403-680819392.204285,20210520101403-489830434.322357,20200813140240-941978275.775909
298,20210520101446-584529280.662537,20210520101403-489830434.322357,20200813140240-777261734.008789
299,20210520101459-747415781.021118,20210520101403-489830434.322357,20200813140240-61015367.5079346
300,20210520101528-119544029.23584,20210520101403-489830434.322357,20200813140240-887522280.216217
301,20210520101602-468005657.196045,20210520101602-216733515.262604,20200813140240-61015367.5079346
302,20210520101707-696100771.427155,20210520101602-216733515.262604,20200813140240-941978275.775909
303,20210520101723-356586277.484894,20210520101602-216733515.262604,20200813140240-777261734.008789
304,20210520101736-347832679.748535,20210520101602-216733515.262604,20200813140240-842469632.62558
305,20210520101744-77684700.4890442,20210520101602-216733515.262604,20200813140240-887522280.216217
306,20210520101856-281503438.949585,20210520101856-395844280.719757,20200813140240-941978275.775909
307,20210520101933-557501018.047333,20210520101856-395844280.719757,20200813140240-777261734.008789
308,20210520101941-692994534.96933,20210520101856-395844280.719757,20200813140240-61015367.5079346
309,20210520131720-301948010.921478,20210520131528-814490020.275116,20200813140240-941978275.775909
310,20210520131808-414032697.677612,20210520131528-814490020.275116,20200813140240-641774833.202362
311,20210520131817-961953163.146973,20210520131528-814490020.275116,20200813140240-777261734.008789
312,20210520131827-524868428.707123,20210520131528-814490020.275116,20200813140240-871533870.697021
313,20210520131837-468700110.912323,20210520131528-814490020.275116,20200813140240-61015367.5079346
314,20210520131849-279342055.32074,20210520131528-814490020.275116,20200813140240-887522280.216217
315,20210520131857-589163005.35202,20210520131528-814490020.275116,20200813140240-34356594.0856934
316,20210520132003-533873081.207275,20210520132003-243931353.092194,20200813140240-887522280.216217
317,20210520132045-100052237.510681,20210520132003-243931353.092194,20200813140240-777261734.008789
318,20210520132054-295772850.513458,20210520132003-243931353.092194,20200813140240-641774833.202362
319,20210520132103-948571085.929871,20210520132003-243931353.092194,20200813140240-941978275.775909
320,20210520132113-160441517.829895,20210520132003-243931353.092194,20200813140240-61015367.5079346
321,20210520132121-412766814.231873,20210520132003-243931353.092194,20200813140240-34356594.0856934
322,20210520132228-80714643.0015564,20210520132228-583359003.067017,20200813140240-61015367.5079346
323,20210520132314-289665043.354034,20210520132228-583359003.067017,20200813140240-777261734.008789
324,20210520132323-428456366.062164,20210520132228-583359003.067017,20200813140240-887522280.216217
325,20210520132333-913717567.920685,20210520132228-583359003.067017,20200813140240-941978275.775909
326,20210520133307-210368633.270264,20210520133307-18758356.5711975,20200813140240-941978275.775909
327,20210520133356-536794066.429138,20210520133307-18758356.5711975,20200813140240-34356594.0856934
328,20210520133405-827411830.425262,20210520133307-18758356.5711975,20200813140240-887522280.216217
329,20210520133415-357023119.926453,20210520133307-18758356.5711975,20200813140240-641774833.202362
330,20210520133423-928785979.747772,20210520133307-18758356.5711975,20200813140240-777261734.008789
331,20210520133432-401842057.704926,20210520133307-18758356.5711975,20200813140240-61015367.5079346
332,20210520133527-927616536.617279,20210520133527-169873476.028442,20200813140240-887522280.216217
333,20210520133625-750687718.391418,20210520133527-169873476.028442,20200813140240-228228032.588959
334,20210520133634-256628930.568695,20210520133527-169873476.028442,20200813140240-777261734.008789
335,20210520133644-322717666.625977,20210520133527-169873476.028442,20200813140240-941978275.775909
