,Habitat_ID,Event_ID
0,20210506133644-15703916.5496826,20210506132904-814490020.275116
1,20210506134306-378902554.512024,20210506133922-948571085.929871
2,20210506140759-430261135.101318,20210506140555-97973823.5473633
3,20210506141646-783995270.729065,20210506140902-404834151.268005
4,20210507083459-401374340.057373,20210506141851-331694424.152374
5,20210507083405-300970494.747162,20210507082716-961953163.146973
6,20210507085528-390291452.407837,20210507084829-412766814.231873
7,20210507142247-289562463.760376,20210507090145-542070209.980011
8,20210507144055-382010698.318481,20210507142320-709037899.971008
9,20210507144710-979077935.218811,20210507144142-160441517.829895
10,20210507145932-750687718.391418,20210507144810-257267653.942108
11,20210507150222-634371936.321259,20210507150027-322717666.625977
12,20210507151407-543177008.628845,20210507150300-347726404.666901
13,20210507152039-61522245.4071045,20210507151506-619187593.460083
14,20210507152623-645951330.661774,20210507152306-533022344.112396
15,20210507153335-784488618.373871,20210507153054-542029261.58905
16,20210507153629-372814297.676086,20210507153429-804267168.045044
17,20210507154036-312288105.487823,20210507153748-610432803.630829
18,20210510074908-647821187.973022,20210510074545-774740099.906921
19,20210510075227-100052237.510681,20210510075031-986093163.490295
20,20210510075557-905729830.265045,20210510075357-948571085.929871
21,20210510081233-938545167.446136,20210510081021-677947700.023651
22,20210510081446-783995270.729065,20210510081402-506087362.766266
23,20210510082330-254601895.809174,20210510081913-207627296.447754
24,20210510082503-864534497.261047,20210510082402-44933855.5335999
25,20210510083238-875974655.151367,20210510082903-538246333.599091
26,20210510083450-613934934.139252,20210510083407-190633416.175842
27,20210510085132-784488618.373871,20210510084558-277168393.135071
28,20210510085551-585937917.232513,20210510085229-518015921.115875
29,20210510085810-259060978.889465,20210510085732-517192423.343658
30,20210510090317-78708887.1002197,20210510090223-270359218.120575
31,20210510091235-50045013.4277344,20210510090757-4019677.63900757
32,20210510093035-375816047.19162,20210510092803-839586138.725281
33,20210707094949-186013519.763947,20210510093251-841427624.225616
34,20210513135534-980003237.724304,20210513134425-14017641.544342
35,20210514083642-980003237.724304,20210514082959-760723590.85083
36,20210514084027-261368274.688721,20210514083734-575183808.803558
37,20210514085120-263792932.033539,20210514084427-97973823.5473633
38,20210514085358-980003237.724304,20210514085329-910964310.16922
39,20210514085822-404834151.268005,20210514085602-186013519.763947
40,20210514090405-128249883.651733,20210514085957-390291452.407837
41,20210514090649-750687718.391418,20210514090457-81893563.2705688
