,Detection_ID,Observation_ID,Distance,Detection
0,20210506133522-647821187.973022,20210506133334-298165440.559387,63.0,1
1,20210506133525-263792932.033539,20210506133334-298165440.559387,37.0,1
2,20210506133527-279342055.32074,20210506133334-298165440.559387,27.0,4
3,20210506133531-829801619.052887,20210506133334-298165440.559387,64.0,1
4,20210506133533-824602127.075195,20210506133334-298165440.559387,26.0,1
5,20210506133536-589163005.35202,20210506133334-298165440.559387,20.0,4
6,20210506133539-986093163.490295,20210506133334-298165440.559387,25.0,1
7,20210506133542-910964310.16922,20210506133334-298165440.559387,62.0,4
8,20210506133545-226866006.851196,20210506133334-298165440.559387,72.0,1
9,20210506133621-243931353.092194,20210506133606-695115506.649017,32.0,1
10,20210506133623-533873081.207275,20210506133606-695115506.649017,20.0,1
11,20210506133624-106369674.20578,20210506133606-695115506.649017,23.0,1
12,20210506133627-999414563.179016,20210506133606-695115506.649017,25.0,1
13,20210506134041-160441517.829895,20210506133922-979829370.975494,76.0,1
14,20210506134043-162821590.900421,20210506133922-979829370.975494,77.0,1
15,20210506134044-646587133.407593,20210506133922-979829370.975494,49.0,1
16,20210506134048-410073220.729828,20210506133922-979829370.975494,47.0,1
17,20210506134050-412766814.231873,20210506133922-979829370.975494,38.0,1
18,20210506134052-712730467.319489,20210506133922-979829370.975494,46.0,1
19,20210506134054-326206207.275391,20210506133922-979829370.975494,29.0,1
20,20210506134056-633178889.751434,20210506133922-979829370.975494,25.0,1
21,20210506134152-583359003.067017,20210506134142-207561135.292053,39.0,1
22,20210506134154-80714643.0015564,20210506134142-207561135.292053,42.0,1
23,20210506134220-261368274.688721,20210506134202-457971453.666687,42.0,1
24,20210506140729-834817171.096802,20210506140555-561040103.435516,47.0,1
25,20210506140742-22629201.4122009,20210506140555-561040103.435516,35.0,1
26,20210506140744-543360590.934753,20210506140555-561040103.435516,46.0,1
27,20210506141007-979077935.218811,20210506140902-269731581.21109,34.0,1
28,20210506141008-60916244.9836731,20210506140902-269731581.21109,41.0,1
